timestamp,J1,J2,J3,J4,J5,J6
 0,  18.6421,   8.3361, -35.3582, -34.7472,  32.8015,  25.2543
 8,  18.6421,   8.3361, -35.3582, -34.7472,  32.8015,  25.2543
 16,  18.6421,   8.3361, -35.3582, -34.7472,  32.8015,  25.2543
 24,  18.6421,   8.3361, -35.3582, -34.7472,  32.8016,  25.2543
 32,  18.6421,   8.3361, -35.3582, -34.7471,  32.8016,  25.2543
 40,  18.6420,   8.3361, -35.3582, -34.7471,  32.8016,  25.2542
 48,  18.6420,   8.3361, -35.3583, -34.7469,  32.8017,  25.2541
 56,  18.6419,   8.3361, -35.3583, -34.7467,  32.8018,  25.2539
 64,  18.6418,   8.3360, -35.3584, -34.7464,  32.8019,  25.2536
 80,  18.6414,   8.3359, -35.3590, -34.7448,  32.8026,  25.2523
 88,  18.6414,   8.3359, -35.3590, -34.7448,  32.8026,  25.2523
 96,  18.6412,   8.3359, -35.3592, -34.7441,  32.8030,  25.2516
 104,  18.6409,   8.3359, -35.3595, -34.7431,  32.8034,  25.2508
 112,  18.6406,   8.3358, -35.3599, -34.7420,  32.8040,  25.2499
 120,  18.6403,   8.3357, -35.3603, -34.7407,  32.8046,  25.2488
 128,  18.6398,   8.3356, -35.3608, -34.7392,  32.8052,  25.2475
 136,  18.6394,   8.3355, -35.3614, -34.7375,  32.8060,  25.2460
 144,  18.6388,   8.3354, -35.3620, -34.7356,  32.8069,  25.2444
 152,  18.6382,   8.3353, -35.3628, -34.7334,  32.8079,  25.2425
 160,  18.6375,   8.3352, -35.3636, -34.7310,  32.8091,  25.2405
 168,  18.6368,   8.3350, -35.3645, -34.7283,  32.8103,  25.2382
 176,  18.6360,   8.3348, -35.3655, -34.7253,  32.8117,  25.2356
 184,  18.6350,   8.3347, -35.3666, -34.7220,  32.8132,  25.2328
 192,  18.6340,   8.3345, -35.3678, -34.7184,  32.8149,  25.2298
 208,  18.6305,   8.3337, -35.3720, -34.7057,  32.8208,  25.2188
 216,  18.6305,   8.3337, -35.3720, -34.7057,  32.8208,  25.2188
 224,  18.6291,   8.3334, -35.3737, -34.7007,  32.8232,  25.2146
 232,  18.6276,   8.3331, -35.3755, -34.6953,  32.8257,  25.2100
 240,  18.6260,   8.3328, -35.3774, -34.6896,  32.8283,  25.2051
 248,  18.6243,   8.3325, -35.3794, -34.6834,  32.8312,  25.1998
 256,  18.6224,   8.3321, -35.3816, -34.6768,  32.8343,  25.1942
 264,  18.6205,   8.3317, -35.3840, -34.6698,  32.8375,  25.1882
 272,  18.6184,   8.3313, -35.3865, -34.6623,  32.8410,  25.1818
 280,  18.6162,   8.3308, -35.3891, -34.6543,  32.8447,  25.1750
 288,  18.6138,   8.3303, -35.3919, -34.6459,  32.8487,  25.1679
 296,  18.6113,   8.3298, -35.3949, -34.6370,  32.8528,  25.1602
 304,  18.6087,   8.3293, -35.3981, -34.6276,  32.8572,  25.1522
 312,  18.6059,   8.3287, -35.4014, -34.6176,  32.8619,  25.1437
 320,  18.6030,   8.3282, -35.4049, -34.6072,  32.8667,  25.1348
 336,  18.5934,   8.3262, -35.4163, -34.5729,  32.8827,  25.1055
 344,  18.5934,   8.3262, -35.4163, -34.5729,  32.8827,  25.1055
 352,  18.5899,   8.3255, -35.4204, -34.5606,  32.8885,  25.0950
 360,  18.5863,   8.3248, -35.4247, -34.5478,  32.8945,  25.0841
 368,  18.5827,   8.3241, -35.4291, -34.5346,  32.9006,  25.0729
 376,  18.5788,   8.3233, -35.4336, -34.5210,  32.9070,  25.0613
 384,  18.5749,   8.3225, -35.4383, -34.5070,  32.9136,  25.0493
 392,  18.5709,   8.3217, -35.4431, -34.4926,  32.9203,  25.0371
 400,  18.5667,   8.3209, -35.4480, -34.4779,  32.9272,  25.0245
 408,  18.5625,   8.3201, -35.4531, -34.4628,  32.9343,  25.0117
 416,  18.5582,   8.3192, -35.4582, -34.4474,  32.9415,  24.9985
 424,  18.5538,   8.3183, -35.4635, -34.4317,  32.9489,  24.9851
 432,  18.5493,   8.3174, -35.4688, -34.4156,  32.9564,  24.9714
 440,  18.5447,   8.3165, -35.4743, -34.3993,  32.9641,  24.9575
 448,  18.5400,   8.3156, -35.4798, -34.3827,  32.9719,  24.9434
 464,  18.5255,   8.3128, -35.4970, -34.3314,  32.9961,  24.8996
 472,  18.5255,   8.3128, -35.4970, -34.3314,  32.9961,  24.8996
 480,  18.5206,   8.3118, -35.5028, -34.3139,  33.0044,  24.8847
 488,  18.5156,   8.3108, -35.5088, -34.2961,  33.0128,  24.8695
 496,  18.5105,   8.3099, -35.5148, -34.2781,  33.0213,  24.8542
 504,  18.5054,   8.3089, -35.5208, -34.2600,  33.0299,  24.8388
 512,  18.5002,   8.3079, -35.5270, -34.2417,  33.0385,  24.8232
 520,  18.4950,   8.3069, -35.5331, -34.2233,  33.0473,  24.8075
 528,  18.4897,   8.3058, -35.5393, -34.2047,  33.0561,  24.7917
 536,  18.4845,   8.3048, -35.5456, -34.1860,  33.0649,  24.7758
 544,  18.4791,   8.3038, -35.5519, -34.1672,  33.0739,  24.7598
 552,  18.4738,   8.3028, -35.5582, -34.1483,  33.0828,  24.7437
 560,  18.4684,   8.3017, -35.5646, -34.1294,  33.0918,  24.7275
 568,  18.4630,   8.3007, -35.5709, -34.1104,  33.1009,  24.7113
 576,  18.4576,   8.2997, -35.5773, -34.0913,  33.1100,  24.6951
 592,  18.4413,   8.2966, -35.5965, -34.0340,  33.1373,  24.6463
 600,  18.4413,   8.2966, -35.5965, -34.0340,  33.1373,  24.6463
 608,  18.4358,   8.2956, -35.6029, -34.0148,  33.1465,  24.6300
 616,  18.4304,   8.2946, -35.6093, -33.9957,  33.1556,  24.6137
 624,  18.4250,   8.2935, -35.6157, -33.9766,  33.1647,  24.5975
 632,  18.4195,   8.2925, -35.6221, -33.9575,  33.1739,  24.5812
 640,  18.4141,   8.2915, -35.6285, -33.9384,  33.1830,  24.5650
 648,  18.4086,   8.2905, -35.6349, -33.9193,  33.1922,  24.5488
 656,  18.4032,   8.2895, -35.6413, -33.9003,  33.2013,  24.5325
 664,  18.3977,   8.2884, -35.6477, -33.8812,  33.2105,  24.5163
 672,  18.3923,   8.2874, -35.6541, -33.8621,  33.2197,  24.5001
 680,  18.3868,   8.2864, -35.6605, -33.8431,  33.2288,  24.4839
 688,  18.3814,   8.2854, -35.6669, -33.8240,  33.2380,  24.4677
 696,  18.3759,   8.2844, -35.6733, -33.8050,  33.2472,  24.4515
 704,  18.3705,   8.2834, -35.6796, -33.7860,  33.2563,  24.4354
 720,  18.3542,   8.2804, -35.6988, -33.7290,  33.2839,  24.3869
 728,  18.3542,   8.2804, -35.6988, -33.7290,  33.2839,  24.3869
 736,  18.3487,   8.2794, -35.7052, -33.7100,  33.2930,  24.3707
 744,  18.3432,   8.2784, -35.7115, -33.6910,  33.3022,  24.3546
 752,  18.3378,   8.2775, -35.7179, -33.6720,  33.3114,  24.3385
 760,  18.3323,   8.2765, -35.7243, -33.6530,  33.3206,  24.3224
 768,  18.3269,   8.2755, -35.7307, -33.6341,  33.3298,  24.3063
 776,  18.3214,   8.2745, -35.7370, -33.6151,  33.3390,  24.2901
 784,  18.3160,   8.2735, -35.7434, -33.5962,  33.3482,  24.2741
 792,  18.3105,   8.2725, -35.7498, -33.5772,  33.3574,  24.2580
 800,  18.3050,   8.2716, -35.7561, -33.5583,  33.3666,  24.2419
 808,  18.2996,   8.2706, -35.7625, -33.5394,  33.3758,  24.2258
 816,  18.2941,   8.2696, -35.7688, -33.5205,  33.3851,  24.2098
 824,  18.2887,   8.2686, -35.7752, -33.5016,  33.3943,  24.1937
 832,  18.2832,   8.2677, -35.7815, -33.4827,  33.4035,  24.1777
 848,  18.2668,   8.2648, -35.8006, -33.4260,  33.4312,  24.1296
 856,  18.2668,   8.2648, -35.8006, -33.4260,  33.4312,  24.1296
 864,  18.2614,   8.2638, -35.8069, -33.4072,  33.4404,  24.1136
 872,  18.2559,   8.2629, -35.8133, -33.3883,  33.4497,  24.0976
 880,  18.2504,   8.2619, -35.8196, -33.3695,  33.4589,  24.0816
 888,  18.2450,   8.2610, -35.8260, -33.3506,  33.4681,  24.0656
