timestamp, cmd_num, J1, J2, J3, J4, J5, J6
0, 1, -0.913123, 64.054, 9.02799, 44.079, -95.9522, 169.293
0.002, 1, -0.913123, 64.054, 9.02799, 44.079, -95.9522, 169.293
0.004, 1, -0.913123, 64.054, 9.02799, 44.079, -95.9522, 169.293
0.008, 1, -0.913123, 64.054, 9.02799, 44.079, -95.9522, 169.293
0.011, 1, -0.913123, 64.054, 9.02799, 44.079, -95.9522, 169.293
0.016, 1, -0.913123, 64.054, 9.02799, 44.079, -95.9522, 169.293
0.02, 1, -0.913123, 64.054, 9.02799, 44.079, -95.9522, 169.293
0.024, 1, -0.913123, 64.054, 9.02799, 44.079, -95.9522, 169.293
0.028, 1, -0.913123, 64.054, 9.02799, 44.079, -95.9522, 169.293
0.032, 1, -0.913123, 64.054, 9.02799, 44.079, -95.9522, 169.293
0.036, 1, -0.913114, 64.054, 9.02799, 44.079, -95.9522, 169.293
0.04, 1, -0.91305, 64.054, 9.028, 44.079, -95.9522, 169.293
0.044, 1, -0.912828, 64.0539, 9.028, 44.079, -95.9522, 169.293
0.048, 1, -0.912302, 64.0538, 9.02802, 44.0791, -95.9522, 169.293
0.052, 1, -0.91133, 64.0535, 9.02805, 44.0791, -95.9522, 169.293
0.056, 1, -0.909803, 64.053, 9.02808, 44.0792, -95.9521, 169.293
0.06, 1, -0.907647, 64.0522, 9.0281, 44.0794, -95.9519, 169.292
0.064, 1, -0.904811, 64.0511, 9.02806, 44.0799, -95.9515, 169.291
0.068, 1, -0.901261, 64.0497, 9.02791, 44.0807, -95.9508, 169.289
0.072, 1, -0.896948, 64.0479, 9.0276, 44.082, -95.9498, 169.286
0.076, 1, -0.891774, 64.0455, 9.02705, 44.084, -95.9481, 169.281
0.08, 1, -0.885582, 64.0426, 9.02614, 44.0869, -95.9457, 169.275
0.084, 1, -0.878171, 64.0391, 9.02477, 44.091, -95.9422, 169.265
0.088, 1, -0.86934, 64.0348, 9.02281, 44.0966, -95.9375, 169.252
0.092, 1, -0.858929, 64.0297, 9.02011, 44.1041, -95.9313, 169.235
0.096, 1, -0.846831, 64.0238, 9.01649, 44.1137, -95.9232, 169.212
0.1, 1, -0.832962, 64.017, 9.01177, 44.1259, -95.913, 169.184
0.104, 1, -0.81722, 64.0093, 9.00578, 44.141, -95.9002, 169.149
0.108, 1, -0.799471, 64.0006, 8.99834, 44.1595, -95.8846, 169.106
0.112, 1, -0.779587, 63.9909, 8.9893, 44.1817, -95.866, 169.054
0.116, 1, -0.757483, 63.9802, 8.97849, 44.2079, -95.8439, 168.994
0.12, 1, -0.733139, 63.9686, 8.9658, 44.2383, -95.8183, 168.923
0.124, 1, -0.706585, 63.9562, 8.95109, 44.2733, -95.7888, 168.842
0.128, 1, -0.677864, 63.9432, 8.93429, 44.313, -95.7553, 168.751
0.131, 1, -0.647025, 63.9297, 8.91534, 44.3574, -95.7178, 168.648
0.136, 1, -0.614108, 63.9156, 8.89423, 44.4066, -95.6763, 168.534
0.139, 1, -0.579115, 63.9009, 8.87101, 44.4606, -95.6308, 168.41
0.144, 1, -0.542009, 63.8855, 8.84574, 44.519, -95.5815, 168.274
0.148, 1, -0.502751, 63.8693, 8.81855, 44.5818, -95.5285, 168.129
0.152, 1, -0.46136, 63.8521, 8.78959, 44.6486, -95.4721, 167.975
0.156, 1, -0.417928, 63.8339, 8.759, 44.7191, -95.4126, 167.812
0.16, 1, -0.37259, 63.8149, 8.72696, 44.7929, -95.3503, 167.642
0.164, 1, -0.325468, 63.795, 8.69365, 44.8696, -95.2856, 167.464
