breakpoints,primitives,points,q_bp
0,movej_fit,"[array([ 124.43100725, -461.46176644, 1276.97286405])]","[array([-0.519804  , -0.86021779,  0.73725625,  2.51024276, -1.98148797,
       -2.80886903])]"
500,movel_fit,"[array([ 160.79825975, -547.70331392, 1218.73826441])]","[array([-0.59126319, -0.79205942,  0.77415025,  2.50061719, -1.85847857,
       -2.79385777])]"
1000,movel_fit,"[array([ 164.22404996, -555.70585803, 1213.27929946])]","[array([-0.59638583, -0.78502656,  0.7773862 ,  2.49908164, -1.847487  ,
       -2.79213917])]"
1500,movel_fit,"[array([ 167.68575264, -563.6724274 , 1207.78903055])]","[array([-0.60068358, -0.77793761,  0.7808544 ,  2.49700816, -1.83669991,
       -2.79091771])]"
2000,movel_fit,"[array([ 171.18298485, -571.60295575, 1202.26710422])]","[array([-0.60418102, -0.77079302,  0.78455899,  2.49438624, -1.82610906,
       -2.79018345])]"
2500,movel_fit,"[array([ 174.71491231, -579.49671322, 1196.71348812])]","[array([-0.60690357, -0.76359284,  0.78850422,  2.49120726, -1.81570793,
       -2.78992642])]"
3000,movel_fit,"[array([ 178.28059864, -587.35313808, 1191.1279131 ])]","[array([-0.60887804, -0.75633595,  0.79269462,  2.48746441, -1.80549047,
       -2.79013632])]"
3500,movel_fit,"[array([ 181.87866429, -595.17111521, 1185.51040532])]","[array([-0.61013274, -0.74902075,  0.79713442,  2.48315326, -1.79545198,
       -2.79080233])]"
4000,movel_fit,"[array([ 185.50820206, -602.9509931 , 1179.85985705])]","[array([-0.61069795, -0.74164329,  0.80182844,  2.47827092, -1.78558635,
       -2.79191315])]"
4500,movel_fit,"[array([ 189.16762464, -610.69210012, 1174.17583034])]","[array([-0.61060579, -0.73419958,  0.80678044,  2.47281762, -1.77588922,
       -2.79345653])]"
5000,movel_fit,"[array([ 192.85542514, -618.39442598, 1168.45737605])]","[array([-0.60989073, -0.726684  ,  0.81199373,  2.46679617, -1.76635563,
       -2.79541926])]"
5500,movel_fit,"[array([ 196.56980328, -626.05785334, 1162.70362721])]","[array([-0.60858982, -0.7190901 ,  0.8174703 ,  2.46021278, -1.75698089,
       -2.79778674])]"
6000,movel_fit,"[array([ 200.30853537, -633.68194077, 1156.91401713])]","[array([-0.60674317, -0.71141085,  0.82321021,  2.45307778, -1.74776064,
       -2.8005426 ])]"
6500,movel_fit,"[array([ 204.06948941, -641.26701179, 1151.0875088 ])]","[array([-0.60439399, -0.70363757,  0.82921187,  2.44540512, -1.73868937,
       -2.8036687 ])]"
7000,movel_fit,"[array([ 207.85020112, -648.81330839, 1145.2232883 ])]","[array([-0.60158893, -0.69576089,  0.83547091,  2.4372135 , -1.72976133,
       -2.80714467])]"
7500,movel_fit,"[array([ 211.64793151, -656.32114097, 1139.32072496])]","[array([-0.59837828, -0.68777071,  0.84197972,  2.4285267 , -1.72097017,
       -2.81094759])]"
8000,movel_fit,"[array([ 215.45959909, -663.79077879, 1133.37954151])]","[array([-0.59481611, -0.67965644,  0.84872675,  2.41937411, -1.71230893,
       -2.81505173])]"
8500,movel_fit,"[array([ 219.28263522, -671.22412557, 1127.39855647])]","[array([-0.59095934, -0.67140535,  0.85569753,  2.40978887, -1.70376804,
       -2.81942931])]"
9000,movel_fit,"[array([ 223.1130183 , -678.62088809, 1121.37885162])]","[array([-0.58686948, -0.66300703,  0.86287056,  2.39981293, -1.69533963,
       -2.82404818])]"
9500,movel_fit,"[array([ 226.94774104, -685.9833665 , 1115.32002632])]","[array([-0.5826099 , -0.6544483 ,  0.87022138,  2.38949095, -1.68701205,
       -2.8288746 ])]"
10000,movel_fit,"[array([ 230.78360234, -693.31406573, 1109.22220552])]","[array([-0.57824642, -0.64571612,  0.87772   ,  2.37887311, -1.67877266,
       -2.83387196])]"
10500,movel_fit,"[array([ 234.61630351, -700.61395355, 1103.08764051])]","[array([-0.57384791, -0.63680011,  0.8853288 ,  2.36801761, -1.67060983,
       -2.83899964])]"
11000,movel_fit,"[array([ 238.44309328, -707.88745967, 1096.91665428])]","[array([-0.56948252, -0.62768689,  0.89300756,  2.35698293, -1.66250752,
       -2.8442167 ])]"
11500,movel_fit,"[array([ 242.26031607, -715.13774077, 1090.71172668])]","[array([-0.56521976, -0.61836625,  0.90070865,  2.34583423, -1.65445079,
       -2.84947892])]"
12000,movel_fit,"[array([ 246.06405837, -722.36784952, 1084.47668326])]","[array([-0.56112884, -0.6088303 ,  0.90837842,  2.3346411 , -1.64642468,
       -2.85473993])]"
12500,movel_fit,"[array([ 249.85172522, -729.58365003, 1078.2143052 ])]","[array([-0.5572762 , -0.59907015,  0.91596064,  2.32347231, -1.63841131,
       -2.85995382])]"
